pH,VSS,Ethanol,Acetate,Propionate,Butyrate,Sucrose_Degradation,ORP_Mid,ORP_Low,VFA,COD-O,HPR
5.755,3.0875,2451.0,3312.0,988.0,34.66297613941521,67.8745,-316.0,-420.0,9854.0,18.72,4.5561
5.36,2.295,2402.0,3412.0,892.0,34.675458305831995,86.9995,-316.0,-400.0,9860.0,14.560000000000006,4.0816
5.24,2.575,2402.0,3333.0,902.0,34.101278650659836,88.1515,-285.0,-364.0,9699.0,15.039999999999992,3.7443
5.365,2.0475,2454.0,1987.0,1121.0,24.839511169404492,92.5295,-275.0,-354.0,7088.0,21.44,2.3523
5.715,1.9825,2430.0,3212.0,980.0,34.81276213641665,90.08699999999999,-262.0,-332.0,9770.0,15.36,3.035
4.949999999999999,2.27,2344.0,3309.0,1021.0,34.73786913791592,100.0,-310.0,-387.0,9896.0,16.98,4.5997
5.41,2.2475,2344.0,1990.0,1022.0,22.46165846700672,100.0,-318.0,-365.0,6611.0,17.987,2.1888
5.33,2.225,2400.0,3121.0,890.0,36.94097151047869,91.3775,-305.0,-357.0,9930.0,18.27,4.4147
5.17,1.95,2989.0,3452.0,789.0,38.338974149158744,91.838,-292.0,-349.0,10384.0,14.400000000000006,3.969
5.24,2.095,2423.0,3000.0,1001.0,37.508910082442455,89.39999999999999,-308.0,-348.0,10011.0,12.176,5.2174
5.155,1.8725,2980.0,2012.0,1123.0,23.023355955762103,90.15,-415.0,-431.0,6824.0,12.461876,1.9596
6.21,1.5775,2789.0,1890.0,1231.0,21.00124499624274,92.2,-262.0,-319.0,6486.0,7.531116,1.1805
5.14,2.325,2567.0,2965.0,976.0,33.00284800598265,91.55,-455.0,-425.0,9229.0,10.802852000000001,3.459
5.3149999999999995,2.21,2666.0,2867.0,967.0,28.297071266854267,91.1,-544.0,-455.0,8368.0,12.922716000000001,2.1739
5.33,2.2800000000000002,2011.0,2232.0,876.0,34.81276213641665,92.69999999999999,-558.0,-478.0,8686.0,9.870188,1.2501
5.61,2.35,1989.0,2103.0,888.0,32.45363268364406,94.84,-559.0,-479.0,8191.0,12.139288,1.1382
5.4775,2.385,2765.0,3011.0,1100.0,31.64229186655296,95.39999999999999,-558.5,-484.0,9181.0,12.139288,2.7601
5.345,2.1865,2132.0,2001.0,789.0,33.90780507119965,94.84,-558.0,-489.0,8223.0,11.6646,1.7376
5.225,2.48325,1989.0,2677.0,675.0,27.298497953511365,93.55,-543.0,-488.0,7726.0,10.6646,1.4809
5.56,2.78,1989.0,2452.0,789.0,38.338974149158744,94.0,-521.0,-484.0,9384.0,9.186784,2.9962
5.484999999999999,2.59,2012.0,2912.0,777.0,39.037975468498765,94.24,-548.0,-496.0,9944.0,10.600128,3.1365
5.375,2.8767,2023.0,2823.0,675.0,39.08790413416591,94.19999999999999,-543.0,-491.0,9761.0,10.876631999999999,2.5169
5.244999999999999,2.2,2234.0,2613.0,756.0,37.196855922022806,94.44,-527.0,-475.0,9329.0,10.494112,2.3597
5.25,1.9375,2122.0,2734.0,876.0,35.55545103821542,92.6,-517.0,-469.0,9307.0,11.613976000000001,2.5946
5.32,1.98,1998.0,2807.0,888.0,36.12338961017919,90.60000000000001,-542.0,-497.0,9483.0,11.724532,3.4324
5.585,2.045,1902.0,2999.0,865.0,32.53476676535317,92.10000000000001,-556.0,-499.0,9077.0,9.517268,3.6526
5.34,2.58,2012.0,3012.0,799.0,37.196855922022806,94.39999999999999,-561.0,-508.0,9771.0,10.107052,2.7492
5.27,2.0625,1908.0,3121.0,801.0,35.89871061467704,94.0,-563.0,-514.0,9674.0,10.001036000000001,2.0
5.6,2.0575,1807.0,3001.0,899.0,35.20595037854541,95.19999999999999,-527.0,-490.0,9541.0,13.245304,2.6632
5.55,2.2775,1888.0,3013.0,812.0,33.82042990628214,94.39999999999999,-536.0,-518.0,9244.0,13.613976000000001,3.268
5.52,2.175,1798.0,3201.0,821.0,34.65673505620682,89.49999999999999,-545.0,-501.0,9575.0,12.461876,2.7932
5.745,2.155,1765.0,3304.0,910.0,36.591470850808676,90.39999999999999,-552.0,-508.0,10077.0,11.494112,4.0881
5.42,2.005,1654.0,3201.0,901.0,38.338974149158744,90.60000000000001,-546.0,-513.0,10245.0,10.330272,4.7736
5.41,2.065,1768.0,3403.0,1021.0,24.48376942652608,90.10000000000001,-551.0,-482.0,8347.0,9.295928,4.1587
5.25,2.310000000000036,1120.0,1890.0,698.0,13.056346071958341,57.459059999999994,-488.0,-394.0,4680.0,12.508188,5.8896
5.42,1.9499999999999629,1365.0,2354.0,987.0,19.522108275853583,73.77233999999999,-488.0,-443.0,6469.0,13.245531999999997,3.5424
5.734999999999999,2.105,1698.0,2236.0,897.0,24.564903508235197,88.15146,-424.0,-354.0,7069.0,12.369708,4.6728
5.655,2.955,1678.0,3645.0,1368.0,45.79082749998009,98.05952,-419.0,-418.0,12350.0,12.8,3.9504
5.68,2.24,1345.0,1987.0,1120.0,19.010339452765347,73.86542,-421.0,-371.0,6153.0,12.8,3.8664
5.779999999999999,2.58,1203.0,3345.0,1031.0,43.469144546457855,90.45566000000001,-427.0,-356.0,11341.0,17.6,4.1232
5.69,2.67,1931.0,3654.0,1132.0,42.451847983489785,79.44406000000001,-438.0,-362.0,11588.0,19.2,4.4136
5.86,2.285,2193.0,3712.0,1239.0,49.8475315854356,84.39809,-441.0,-359.0,12938.0,18.44,4.5624
5.75,2.0650000000000004,2383.0,3813.0,1364.0,53.242680850801435,79.67448000000002,-463.0,-370.0,13708.0,16.96,4.188
5.785,2.15,1657.0,2198.0,1103.0,30.16939622937219,52.13929,-468.0,-391.0,8135.0,17.92,5.0064
5.78,1.9250000000000003,2166.0,2877.0,1302.0,35.95488036355258,78.29196,-474.0,-417.0,9940.0,16.64,4.7808
5.68,2.67,2687.0,3568.0,1454.0,54.89032681781721,83.93724999999999,-477.0,-411.0,13817.0,17.92,4.128
5.605,1.87,2169.0,1974.0,1187.0,31.685979449011707,93.98120000000002,-471.0,-396.0,8238.0,16.8,3.5904
5.515000000000001,2.315,1698.0,1897.0,892.0,30.412798474499517,83.77348,-429.0,-371.0,7662.0,12.8,3.8712
5.545,2.39,1665.0,1872.0,919.5,0.0,86.65373000000001,-421.0,-370.0,7382.5,13.200000000000001,3.624
5.465,2.23,1632.0,1847.0,947.0,0.0,89.53398000000001,-416.0,-368.0,7103.0,13.600000000000001,3.5976
5.765000000000001,1.53,1599.0,1822.0,974.5,0.0,92.41423,-430.0,-389.0,6823.5,14.0,3.8712
5.9350000000000005,2.6100000000000003,1566.0,1797.0,1002.0,23.372856615432113,95.29448000000001,-488.0,-445.0,6544.0,14.4,3.4104
5.9350000000000005,2.73,1698.0,1897.0,1105.0,26.83665779609028,89.53398,-488.0,-445.0,7302.0,11.2,3.9096
6.635,1.83,1600.0,1823.0,1078.0,26.26871922412651,77.32172,-503.0,-490.0,7110.0,11.2,2.016
6.375,2.5549999999999997,1890.0,2165.0,1111.0,42.78886647674301,83.9812,-477.0,-443.0,10132.0,16.8,4.0488
6.365,2.45,1789.0,2897.0,982.0,47.338616135661574,84.39809,-485.0,-480.0,11464.0,18.4,2.8104
6.335,2.82,1785.3808000000001,2846.205,660.9857999999999,52.01619628496276,95.99059999999999,-577.0,-635.0,11841.6729,16.8,3.792
6.365,2.635,1828.1540000000002,2746.2135,710.8241999999999,50.66973563195923,95.11262,-588.0,-638.0,11575.7783,18.4,4.8984
6.11,2.065,1847.7716,2381.954,772.7153999999999,47.56839908901155,99.4906,-602.0,-642.0,10776.4872,16.8,5.232
5.925,2.4299999999999997,1726.5524,2091.8133999999995,698.3681999999999,45.908958722948555,97.30161000000001,-597.0,-620.0,10146.1096,15.9009999999999,5.4912
5.805,2.315,1698.0,2181.0,761.0,44.39282486130004,96.26472,-595.0,-631.0,10055.0,13.92,5.7432
5.865,1.9075000000000002,1444.7934,1277.9179,333.645,25.421359867623128,64.18777999999999,-598.0,-613.0,5684.7917,12.8,5.4024
6.085,2.3266666666666667,1485.1266,1669.0242999999998,388.005,28.84958562577681,65.80072,-599.0,-598.0,6679.5579,11.2,5.7312
6.1850000000000005,2.66,1453.4554,1682.2174,394.28340000000003,24.486079875529832,63.035680000000006,-604.0,-609.0,5999.870999999999,12.8,4.392
6.154999999999999,1.04,1468.315,1040.3137,269.1474,14.87489786155275,63.2661,-599.0,-604.0,3692.8450999999995,11.2,5.0064
6.005000000000001,4.665,1504.2196000000001,1928.9588,219.97140000000002,22.664813214739773,65.33988000000001,-601.0,-598.0,5780.481400000001,12.8,4.4496
5.76,2.395,1446.0500000000002,2101.3273,207.38580000000002,33.11679083800996,83.08108000000001,-580.0,-576.0,7614.97,22.4,4.9272
5.55,2.115,1816.3396,2508.2581,747.6754,42.0562481868093,98.68413000000001,-560.0,-566.0,9994.5471,20.32,4.5744
6.0,1.4500000000000002,1263.5014,2825.0511,811.597,38.95258059928329,98.79934,-574.0,-570.0,9877.965400000001,15.84,4.5576
6.82,4.395,1178.1868000000002,2854.787,844.3362,43.03460163877364,99.16925,-575.0,-586.0,10594.497,14.88,9.5184
5.82,3.025,944.0078000000001,2532.7806,913.0658,44.98163361551268,99.4906,-508.0,-535.0,10653.1904,19.52,13.0704
5.805,2.6550000000000002,1252.7044,2229.2751,846.3938,46.10779588931803,83.03985,-510.0,-540.0,10463.4563,21.6,11.244
5.61,2.355,1823.6548,2105.8619,994.5554,49.332012495447444,83.27027000000001,-529.0,-593.0,11004.8164,20.0,6.336
6.625,0.0,1524.4986,2570.6699,977.7218,47.91771938137684,83.03985,-435.0,-469.0,11226.1806,20.72,6.7056
6.6075,2.6849999999999996,1460.595,2278.0,1046.0,42.20220465515406,80.90846499999999,-484.0,-506.0,10086.0,20.4,9.1944
6.59,3.9300000000000006,986.0,2230.0,931.0,42.14603490627852,75.18129,-533.0,-543.0,9914.0,22.8,12.7272
6.445,3.165,1002.7264,2347.0,942.0,32.709517095188176,78.29196,-550.0,-536.0,8530.0,21.2,14.5104
6.26,3.5025,1267.2346,1849.5434,1269.3922,23.673805392390754,84.14439999999999,-521.0,-525.0,6912.1562,21.2,14.4264
5.645,2.8075,1711.949,1902.5838999999999,838.0,32.5824667402066,81.99059999999999,-545.0,-687.0,7961.2268,18.96,8.148
5.585,2.3049999999999997,1837.8652000000002,2450.5308999999997,470.7474,29.14614629713163,83.99457,-519.0,-563.0,7591.3243999999995,18.0,15.108
5.665,2.21,1102.2296000000001,2944.0,642.3714,23.93334707869499,86.81692999999999,-507.0,-545.0,7421.178,12.8,14.4816
5.285,0.0,1806.9408,2224.0,798.0,23.76604485756088,89.81239000000001,-503.0,-537.0,6830.0,16.0,15.1032
5.475,2.1499999999999995,1865.94,2515.7997,901.9058,26.24886758665725,85.78004,-474.0,-518.0,7623.5247,20.4,9.5376
5.335,1.9449999999999998,1223.9246,2904.2097,856.1938,24.46223893767377,88.10909,-459.0,-502.0,7679.9537,21.32,4.032
6.195,2.63,1236.1612,2965.7775,878.9314,28.696117389682428,86.208125,-386.0,-479.0,8442.647500000001,21.96,4.9008
6.3,3.585,1432.7032000000002,2481.0033,742.7586,31.629176230190517,92.659885,-430.0,-499.0,8291.6604,20.88,11.0448
6.01,4.234999999999999,1459.3724000000002,2568.7439,751.0034,29.47650805103478,97.09547,-469.0,-491.0,8042.7268,19.2,13.4208
5.695,3.315,1525.8380000000002,2297.8953999999994,306.0978,22.616216396229294,94.67605999999999,-429.0,-484.0,6227.757799999999,17.6,16.3296
5.925,4.91,1756.7108,3734.2740999999996,443.4306,33.668310992377414,92.60228,-407.0,-480.0,9572.3309,15.68,15.2592
5.705,3.87,1760.9564,3804.8619999999996,460.3362,35.56018053107075,94.61845500000001,-426.0,-482.0,9962.956,16.0,19.32
5.51,2.6399999999999997,1984.0848,3641.0,333.9186,36.59771193401707,95.309715,-470.0,-484.0,9838.9186,18.24,13.9248
5.95,2.2775,1798.4008,3643.0,465.0,26.02935246340172,92.429465,-449.0,-470.0,8278.6466,19.2,8.7024
6.045,2.08,1839.0,3026.0,449.0,29.114653167153758,91.10454999999999,-458.0,-493.0,8140.0,12.8,8.6064
5.905,2.936666666666667,1019.6966,2998.0,501.0,29.06472450148661,92.54467500000001,-472.0,-503.0,8156.0,16.0,9.5064
5.84,2.6875,1011.7178000000001,2979.0,491.0,28.571678928023555,92.429465,-507.0,-498.0,8048.0,22.4,9.0288
5.425000000000001,3.37,2746.2124000000003,6298.0,1264.0,54.82167490252489,90.09248,-532.0,-540.0,16346.0,18.96,8.6832
5.46,2.51,4206.0,3374.0,1758.0,53.97288758618342,90.675112,-517.5,-417.0,13780.0,19.2,1.4208
5.455,2.76,3654.1608,5500.625599999999,810.5124,63.697279104910834,83.55524799999999,-503.0,-294.0,16517.2636,28.8,3.7104
5.494999999999999,3.7750000000000004,3974.0,6438.0,1314.0,78.96218475258934,87.702808,-471.0,-294.0,20404.0,28.8,6.528
5.4,3.575,4374.0,7500.0,2810.0,108.23286499995294,95.997928,-526.0,-275.0,27652.0,23.52,21.9816
5.555,4.775,4606.0,4422.0,3128.0,54.235013080935936,89.26966399999999,-446.0,-495.0,16240.0,28.32,10.5336
5.28,4.495,4206.0,3578.0,3356.0,50.078451664146144,86.25432319999999,-467.0,-493.0,14958.0,28.32,9.9288
5.325,4.59,4402.0,3048.0,3756.0,46.25890874060957,79.76569599999999,-451.0,-453.0,14216.0,30.88,3.192
5.375,3.605,3944.0,5794.0,3308.0,42.21468682157085,83.67398399999999,-457.0,-480.0,15866.0,27.296,7.0872
5.68,3.82,3776.0,4708.0,3110.0,47.3198928860364,87.9502144,-331.0,-382.0,15400.0,25.44,4.7496
5.925000000000001,4.795,3794.0,5596.0,3072.0,52.71218877808802,84.77963519999999,-354.0,-417.0,17114.0,32.16,8.7168
5.734999999999999,4.092499999999999,3974.0,5612.0,2866.0,53.34877926534412,85.4711232,-337.0,-411.0,17026.0,32.48,10.5696
5.43,5.105,3944.0,5578.0,3094.0,38.969323553206436,83.8948224,-392.0,-434.0,14916.0,19.2,11.4528
5.665,4.92,3590.0,5374.0,1974.0,57.617680179884985,85.7381824,-336.0,-395.0,16580.0,28.8,12.3864
5.43,4.5,4206.0,4406.0,2206.0,67.22894832081035,82.63436800000001,-389.0,-443.0,17384.0,22.4,10.1664
5.789999999999999,5.18,4460.0,3974.0,2960.0,61.53708043475585,82.8555712,-342.0,-402.0,16794.0,19.2,7.7616
5.234999999999999,5.234999999999999,3574.0,5356.0,2246.0,75.61696415289065,82.7888064,-481.0,-480.0,19718.0,19.2,8.2104
5.85,4.17,5974.0,2004.0,3396.0,42.46433014990657,81.1666496,-338.0,-371.0,12204.0,22.4,2.376
5.78,4.585,4730.0,2736.0,2642.0,53.38622576459447,83.61984,-388.0,-407.0,13932.0,19.6,6.7008
5.824999999999999,4.21,3796.0,4460.0,1974.0,75.45469598947244,82.9362752,-377.0,-411.0,18524.0,20.8,11.2152
5.575,5.105,4394.0,5758.0,2194.0,92.1932811543827,87.43407359999999,-419.0,-428.0,22724.0,29.44,13.5672
5.495,4.96,4006.0,5944.0,2006.0,95.65084125183247,90.33984000000001,-418.0,-437.0,23276.0,29.344,15.1608
5.789999999999999,5.4,5518.0,4274.0,2546.0,55.60805138678241,91.56320000000001,-382.0,-424.0,15730.0,29.12,12.9888
5.74,5.234999999999999,5296.0,4420.0,2388.0,59.26532614690076,91.931872,-427.0,-430.0,16304.0,30.24,16.26
5.7684999999999995,5.165,4504.0,5984.0,2528.0,85.6900724512371,85.0745728,-455.0,-445.0,22242.0,31.2,19.2648
5.74,5.095,3746.0,4038.0,2170.0,90.99499317837123,85.9593856,-459.0,-446.0,20788.0,31.36,20.0688
5.73,5.025,4736.0,5830.0,2556.0,83.91760482005346,86.84419840000001,-465.0,-450.0,21832.0,33.44,16.9176
5.845,5.955,5758.0,6256.0,2046.0,101.66724546472341,84.6321664,-488.0,-441.0,24592.0,31.84,18.4392
5.84,7.155,5830.0,6166.0,1922.0,102.35376461764665,83.765696,-512.0,-457.0,24488.0,35.6,15.6912
5.75,5.507499999999982,4162.0,5884.0,2054.0,81.94542252620124,83.24955519999999,-515.0,-469.0,21068.0,31.76,15.2088
5.73,5.843333333333334,4346.0,6044.0,1834.0,89.82166953519332,83.5444928,-423.0,-505.0,22270.0,34.96,16.5216
5.699999999999999,5.045000000000006,5296.0,5752.0,2470.0,87.56239741375504,83.96158720000001,-645.0,-449.0,22252.0,34.16,14.6352
5.720000000000001,3.45,4762.0,5788.0,2614.0,89.67188353819189,83.15050879999998,-645.0,-448.0,22770.0,36.24,16.908
5.69,5.250000000000021,5922.0,6346.0,2378.0,101.5798702998059,82.9293056,-645.0,-457.0,25000.0,35.28,15.876
5.69,5.660000000000002,4198.0,4432.0,2346.0,92.33058498496735,84.03532159999999,-645.0,-465.0,21572.0,35.6,15.1872
5.745,5.069999999999997,5672.0,6238.0,2542.0,99.13336568211581,84.7011328,-645.0,-467.0,24664.0,35.44,16.2672
5.65,4.825000000000013,5498.0,5890.0,2564.0,88.1365770689272,85.664448,-645.0,-456.0,22576.0,37.92,13.4856
5.529999999999999,5.395000000000005,4986.0,5488.0,2560.0,88.24891656667828,84.345984,-645.0,-478.0,22188.0,36.0,13.9872
5.625,5.295000000000005,5144.0,5818.0,2570.0,85.49035778856853,84.51448320000002,-645.0,-486.0,22086.0,34.4,13.9152
5.75,7.14,3976.0,3950.0,1978.0,89.7592587031094,85.3255616,-645.0,-486.0,20310.0,29.28,14.1504
5.75,5.8775,3874.0,4138.0,2264.0,88.92295355318473,85.17809279999999,-645.0,-488.0,20650.0,33.76,17.2872
5.720000000000001,5.8275,3786.0,3962.0,2236.0,91.3694581708748,85.17809279999999,-645.0,-497.0,20838.0,29.44,19.332
5.755,5.975,4036.0,4274.0,2168.0,88.79813188901684,85.4730304,-645.0,-493.0,20670.0,24.0,19.9296
5.76,8.855,3976.0,5752.0,2062.0,92.04349515738126,88.440152,-645.0,-476.0,22562.0,18.08,17.8944
5.76,6.775,5568.0,6448.0,2076.0,102.27887161914593,86.12687199999999,-645.0,-469.0,24912.0,22.24,20.9904
5.71,5.26,5636.0,6742.0,2330.0,102.041710457227,86.4819028,-645.0,-469.0,25422.0,24.64,16.8336
6.115,3.98,4074.0,5950.0,2526.0,95.28885842574567,86.04097075,-645.0,-483.0,23744.0,23.34,13.9656
6.165,3.255,5776.0,6258.0,2204.0,101.23036964013589,85.52645739999998,-645.0,-482.0,24682.0,21.6,16.152
6.115,3.425,5374.0,6062.0,2700.0,85.92723361315603,85.61525769999999,-645.0,-477.0,22530.0,22.08,15.48
5.965,3.335,4916.0,5794.0,2666.0,84.84128513489563,85.68416214999999,-645.0,-474.0,22054.0,21.12,16.5216
5.695,3.2375,4444.0,5572.0,2308.0,86.17687694149177,85.31974405,-645.0,-514.0,21688.0,21.92,16.3824
5.785,3.7750000000000004,4262.0,5956.0,1958.0,88.29884523234541,86.92517327499999,-645.0,-503.0,22062.0,22.24,19.2696
5.615,3.86,4468.0,5944.0,2076.0,70.41190075709082,85.23094375,-645.0,-507.0,19302.0,22.4,15.012
5.535,3.86,4026.0,5826.0,1756.0,88.848060554684,83.536714225,-645.0,-506.5,21818.0,22.56,19.1664
5.6,3.86,4406.0,5746.0,1786.0,82.0827263567859,84.84662979999999,-645.0,-506.0,20684.0,20.64,15.7344
5.8,3.86,4696.0,4734.0,2070.0,75.32987432530457,83.74342757500001,-645.0,-491.0,18874.0,23.2,14.6064
6.125,3.86,4666.0,4938.0,1966.0,72.60876204644518,84.472263775,-645.0,-501.0,18538.0,21.28,14.8296
6.220000000000001,3.86,4276.0,5406.0,2222.0,73.39513853070271,83.7778798,-645.0,-496.0,19388.0,20.0,14.5848
5.855,3.86,3944.0,5806.0,1596.0,90.75783201645228,83.083495825,-645.0,-486.0,21944.0,21.12,20.4576
5.75,3.86,3998.0,5680.0,1744.0,89.24748988002116,82.856886625,-645.0,-530.0,21724.0,22.88,18.9216
5.824999999999999,3.86,4316.0,5804.0,1842.0,81.68329703144875,81.6158755,-645.0,-492.0,20734.0,22.24,17.664
5.800000000000001,3.86,5308.0,5614.0,2690.0,75.7542679834753,85.04339522500001,-645.0,-510.0,20442.0,21.76,16.956
5.81,3.86,5596.0,6000.0,2490.0,76.87766296098606,84.30461109999999,-645.0,-517.0,20808.0,21.28,16.0896
5.74,3.86,5866.0,6206.0,2048.0,77.67652161166038,83.56582697500001,-645.0,-506.0,20700.0,21.12,15.2952
5.41,3.86,5554.0,5706.0,2000.0,71.8723142278548,87.023190475,-645.0,-387.0,19222.0,20.96,14.8176
5.825,3.86,5974.0,4026.0,2700.0,55.807766049451004,84.98443870000001,-645.0,-386.0,15668.0,20.48,11.7384
5.545,3.86,5758.0,3976.0,2716.0,59.78957713640579,81.881545375,-645.0,-356.0,16272.0,19.52,14.2056
5.635,3.86,5598.0,4206.0,2438.0,58.49143182906002,84.45236792499999,-645.0,-372.0,16016.0,20.32,13.4904
5.46,3.86,5358.0,5378.0,2206.0,63.78387038977736,84.45236792499999,-645.0,-370.0,17804.0,19.648,12.8304
5.495,3.86,5332.0,5940.0,2444.0,66.96682282605784,84.45236792499999,-645.0,-373.0,19114.0,19.648,12.3
5.96,3.86,5332.0,5940.0,2444.0,0.0,84.45236792499999,-645.0,-379.0,19114.0,19.648,11.9232
